Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Communicating with Confidence,"Most people are afraid of speaking in public, but effective oral communication is a key skill in business. Jeff Ansell provides simple communication tools, strategies, and tips that are easy to use and produce immediate results. He'll help you sound more confident, use body and language to better express ideas, and overcome anxiety. In the last chapter of the course, all these concepts are brought together in two real-world coaching exercises that will help you see the techniques in action.",Course,2023-04-18 02:44 UTC,N/A,false,N/A,
Level Up: SQL,"These concise (less than 3:30) SQL challenges let you stretch your brain and test your talents. Instructor Scott Simpson frames the challenges in real-world scenarios you might encounter. Tasks range from creating a table to store party guest information to creating a query to find books to feature for a library event.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.<br><br>Each installment of the <em>Level Up</em> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the ""Using GitHub Codespaces with this course"" video to learn how to get a codespace up and running.",Course,2023-03-10 05:27 UTC,N/A,false,N/A,
Excel: Implementing Balanced Scorecards with KPIs,"Discover how to use Excel to create a balanced scorecard to measure business performance based on data available throughout your organization. This course shows intermediate Excel users how to capture metrics related to the financial, process, customer, and learning and growth aspects of their business and display them in an easy-to-understand visualization built entirely in Excel. Instructor Curt Frye provides an overview of balanced scorecards, including the four perspectives and related key performance indicators (KPIs). He then shows how to ingest data from various sources and levels of the organization into dashboards that summarize overall performance, using popular Excel features such as PivotTables and conditional formatting.",Course,2022-08-25 14:09 UTC,N/A,false,N/A,
Generative AI for Business Leaders,"<p>Artificial intelligence has been affecting and transforming our lives for decades. But over the past few years, AI has made incredible progress, with some applications becoming so advanced that they are quickly becoming a powerful force in various industries, with the potential to reshape entire economies—and even reshape society.
 </p><p>
This technology is called generative AI. It will reinvent how we humans will create content. It will redefine how we work, from automating mundane tasks to writing complex code. And it will accelerate our innovation to new levels.
Whether you’re a senior executive or any aspiring leader, learning how this technology works, why it can be disruptive for your business and industry, as well as its limitations, is critical for your company and your career. Join LinkedIn’s Chief Product Officer Tomer Cohen as he shows you key tools and insights to help you use generative AI to reinvent the future of your business.",Course,2023-04-30 06:51 UTC,N/A,false,N/A,
SQL Server Database Triggers,"SQL Server database triggers help database developers automate routine tasks. Triggers wait for an activating event to occur, then immediately respond with preprogrammed operations. This course, from database expert Adam Wilbert, takes a deep dive into leveraging these powerful and flexible components of a SQL Server database. Follow along and learn how to create and deploy different types of triggers, and get hands-on experience using triggers to solve common problems, such as timestamping data changes or collecting information about table events. Adam also helps you manage your database triggers: enabling, disabling, and reordering triggers as necessary. Plus, follow along with a hands-on project in chapter six, which uses triggers to perform tasks automatically in an inventory management system, such as updating inventory when new product is received.",Course,2022-07-30 15:58 UTC,N/A,false,N/A,
Developing Resourcefulness,"Being able to do more with less is a highly valued skill in any organization, and not just in down times. In this course, Dr. Todd Dewett helps you assess your resourcefulness by first evaluating your professional resources (personal network, expertise, information, and access to finances) and explains how to decide when and how to use them. He also provides advice on developing habits to cultivate resourcefulness, such as asking the right questions and building your network across a broad spectrum. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2021-07-01 14:07 UTC,N/A,false,N/A,
From Excel to Tableau,"Making the switch from manipulating your data and insights in Microsoft Excel to Tableau can feel like a daunting task, but this transition doesn't need to be daunting. In this course, data visualization expert Heather Johnson guides you through the process of moving from Excel over to Tableau. First, Heather covers the basics of using the Tableau desktop application and connecting your Excel data source with Tableau. Then, she walks through the steps of creating the data worksheets you'll need to visualize the data. Finally, Heather shares her tips for creating dashboards in Tableau. You'll finish this course feeling prepared to get started using Tableau.",Course,2023-04-27 04:27 UTC,N/A,false,N/A,
Data Science Foundations: Fundamentals,"Data science is driving a world-wide revolution that touches everything from business automation to social interaction. It’s also one of the fastest growing, most rewarding careers, employing analysts and engineers around the globe. This course provides an accessible, nontechnical overview of the field, covering the vocabulary, skills, jobs, tools, and techniques of data science. Instructor Barton Poulson defines the relationships to other data-saturated fields such as machine learning and artificial intelligence. He reviews the primary practices: gathering and analyzing data, formulating rules for classification and decision-making, and drawing actionable insights. He also discusses ethics and accountability and provides direction to learn more. By the end, you’ll see how data science can help you make better decisions, gain deeper insights, and make your work more effective and efficient.",Course,2022-10-01 12:14 UTC,N/A,false,N/A,
From Excel to SQL,"Data is powerful, and the ability to access it quickly and accurately is important. In this course, instructor James Parkin helps you use your existing Excel skills to master the basics of working with data in SQL, one of the most common languages for database wrangling. James shows you how to set up your environment for SQL and shares some differences between spreadsheets and databases. He steps through SQL basics that you need to know to access and identify the data you need. In both Excel and SQL, you work with functions. James covers several, including SUM, AVERAGE, MIN, MAX, COUNT. He explains different methods of sorting, grouping, and organizing your data in SQL. James concludes by showing you how to use joins, VLOOKUP, HLOOKUP, and XLOOKUP to combine your data.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022-11-03 23:30 UTC,N/A,false,N/A,
Tableau Essential Training,"Tableau is a powerful and versatile data analytics and visualization tool that many consider indispensable for data science work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn how to analyze and display data using Tableau 2022—and make better, more data-driven decisions for your company. Instructor Curt Frye shows how to install Tableau, connect to data sources, and sort and filter your data. Curt uses real-world examples to demonstrate how to create and manipulate data visualizations—including highlight tables, charts, scatter plots, histograms, maps, and dashboards—and shows how to share your visualizations.",Course,2022-12-13 16:44 UTC,N/A,false,N/A,
